Size,Instance_Name,#Node,#Truck,Capacity,Opt_cost,Incumbent,APX,Execution_time,Status,Routes
mid_small,P-n55-k15.vrp,55,15,70,991.4834084933393,1191.4481172174847,1.2016823549554019,300.1679395000683,Timeout, [0 23 43 1 33 0 0 35 53 11 0 0 40 37 20 0 0 51 3 44 9 0 0 16 31 10 0 0 29 15 27 8 12 0 0 17 6 47 36 0 0 7 14 38 0 0 34 52 49 24 0 0 42 41 32 39 0 0 2 28 22 0 0 48 21 5 0 0 46 19 54 13 0 0 26 4 30 0 0 25 18 50 45 0]
mid_small,P-n55-k7.vrp,55,7,170,570.2697069066196,597.2166895952344,1.0472530494996595,300.0818963999627,Timeout, [0 6 1 43 41 42 22 28 2 0 0 7 53 11 14 19 54 13 52 0 0 46 8 35 38 10 31 39 26 0 0 17 40 32 44 3 16 51 0 0 45 29 5 48 30 4 0 0 33 23 49 24 18 50 25 9 12 0 0 34 27 15 20 37 36 47 21 0]
mid_small,P-n60-k10.vrp,60,10,120,748.9404104021116,903.2135162269788,1.2059884921178665,300.1577354000183,Timeout, [0 22 1 56 23 51 17 26 0 0 3 44 32 40 10 0 0 52 27 13 37 20 4 0 0 2 30 45 34 0 0 28 43 41 42 33 6 0 0 48 15 57 7 31 25 55 39 0 0 53 11 38 58 12 0 0 16 49 24 18 50 9 0 0 54 19 14 35 8 46 0 0 21 59 36 47 5 29 0]
mid_small,P-n60-k15.vrp,60,15,80,971.581660632717,1124.625307429174,1.1575201066442438,300.2210543999681,Timeout, [0 1 48 5 29 0 0 7 38 58 26 0 0 13 15 57 52 34 0 0 35 19 54 20 37 0 0 4 30 33 0 0 3 44 32 12 0 0 43 41 42 22 6 0 0 27 28 2 0 0 11 59 8 0 0 21 36 47 45 0 0 53 14 46 0 0 10 31 17 0 0 40 9 39 0 0 50 18 24 49 51 0 0 25 55 23 56 16 0]
mid_small,P-n65-k10.vrp,65,10,130,796.6684835175466,956.3938016017471,1.2004915738337758,300.19424799992703,Timeout, [0 1 43 41 49 24 58 38 0 0 7 59 14 35 46 0 0 12 31 10 11 53 0 0 51 33 28 61 21 47 0 0 3 44 50 18 55 25 40 0 0 42 64 22 29 45 27 52 0 0 2 62 23 56 63 16 6 0 0 17 32 9 39 26 0 0 34 48 36 60 20 37 4 0 0 30 5 15 57 13 54 19 8 0]
mid_small,P-n70-k10.vrp,70,10,135,830.0199899119715,1201.0516333732298,1.4470153104392203,300.1756137999473,Timeout, [0 9 39 59 14 7 26 0 0 51 16 63 32 40 67 0 0 1 27 52 19 53 8 46 0 0 35 11 66 58 44 3 0 0 23 56 41 43 42 64 13 54 0 0 21 47 38 65 31 10 0 0 30 37 20 60 5 4 0 0 34 48 28 61 22 62 6 0 0 57 15 36 69 17 50 18 55 25 12 0 0 68 24 49 33 2 29 45 0]
mid_small,P-n76-k4.vrp,76,4,350,598.2184952221475,696.0853403856465,1.163597157134295,300.11625260009896,Timeout, [0 67 9 39 72 58 10 31 25 55 18 24 49 23 56 43 1 63 51 17 0 0 6 41 42 64 61 21 69 71 60 70 20 37 5 15 57 13 54 19 59 14 53 0 0 4 45 48 47 36 29 27 52 34 46 8 35 11 66 65 38 7 0 0 75 68 2 30 74 28 22 62 73 33 16 3 44 50 32 40 12 26 0]
mid_small,P-n76-k5.vrp,76,5,280,635.035240151242,961.6260266916695,1.5142876582134963,300.21562220004853,Timeout, [0 53 11 66 18 50 28 74 47 5 37 15 57 29 45 0 0 34 46 14 59 20 70 22 62 73 33 2 30 68 6 0 0 51 24 49 23 56 41 43 21 61 48 13 54 19 8 35 7 26 0 0 75 4 27 52 67 38 65 31 10 12 40 17 0 0 58 72 39 9 25 55 32 44 3 16 63 1 42 64 69 71 60 36 0]
mid_small,tai75a.vrp,76,None,1445,1618.3567427323092,None,None,0.0007004999788478017,Infeasible, []
mid_small,tai75b.vrp,76,None,1679,1344.6186241386285,None,None,0.0004447000101208687,Infeasible, []
mid_small,tai75c.vrp,76,None,1122,1291.0074758851872,None,None,0.00046550005208700895,Infeasible, []
mid_small,tai75d.vrp,76,None,1699,1365.4192743892231,None,None,0.00040310004260390997,Infeasible, []
